
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|VCC1713          |    7.20|   -13.5|
|AGC208399        |   20.90|   -11.7|
|Orion            |    6.46|   -17.0|
|KKH46            |    5.60|   -11.9|
|SexB             |    1.36|   -14.0|
|VCC0114          |    8.20|   -13.5|
|PiscesII         |    0.18|    -4.4|
|VCC0565          |    9.60|   -14.2|
|LV J1030+0607    |    7.80|   -12.8|
|CGCG 035-007     |   13.00|   -15.6|
|VCC0381          |    4.71|   -11.7|
|KK49             |    5.15|   -14.9|
|VCC1822          |    8.10|   -13.2|
|UGC05923         |   22.30|   -17.7|
|IC3591           |    9.80|   -15.7|
|AGC191803        |   14.90|   -14.5|
|A0554+07         |    5.50|   -12.9|
|AGC174605        |    6.00|   -11.0|
|UGC05288         |    6.85|   -14.8|
|UGC07636         |    5.20|   -13.8|
|VCC1675          |    7.50|   -14.7|
|HIPASS J0630+08  |    3.55|        |
|VCC2033          |    9.80|   -14.8|
|LeG03            |   10.40|   -12.9|
|VCC1725          |    8.50|   -14.9|
|UGC07596         |    4.60|   -13.5|
|IC0559           |    9.40|   -15.0|
|VCC0169          |    9.40|   -13.3|
|UGC06014         |   10.40|   -15.3|
|AGC174585        |    6.10|   -11.2|
|VCC2037          |    7.40|   -13.7|
|UGC05456         |    5.60|   -15.1|
|LeG28            |   10.40|   -11.9|
|AGC200499        |   10.40|   -15.9|
|UGC03755         |    7.41|   -15.7|
|AGC202456        |   10.40|   -14.0|
|LeG22            |   10.40|   -12.2|
|AGC202248        |   10.40|   -12.7|
|LeG12            |   10.40|   -11.7|
|NGC3351          |   10.05|   -19.8|
|CGCG 066-109     |   10.40|   -14.0|
|LeG16            |   10.40|   -11.2|
|NGC3368          |   10.42|   -20.4|
|LeG13            |   10.40|   -12.8|
|UGC08061         |    6.49|   -13.2|
|LSBC D640-14     |   10.40|   -11.7|
|LSBC D640-13     |   10.40|   -13.3|
|LeG10            |   10.40|   -11.0|
|LeG09            |   10.40|   -11.7|
|LeoI             |    0.25|   -11.0|
|LeG17            |   10.40|   -13.2|
|FS04             |   10.40|   -14.5|
|LSBC D640-12     |   10.40|   -11.8|
|IC3718           |    6.80|   -15.3|
|KK96             |   10.40|   -11.9|
|AGC205156        |   10.43|   -11.6|
|UGC05812         |   10.40|   -14.7|
|NGC3379          |   11.12|   -20.1|
|NGC3384          |   11.38|   -19.6|
|LeG05            |   10.40|   -13.4|
|AGC202256        |   11.00|   -13.6|
|NGC3299          |   10.40|   -17.0|
|LeG04            |   10.40|   -11.5|
|LeG18            |   10.40|   -11.3|
|LeG19            |   10.40|   -12.4|
|Hercules         |    0.15|    -6.1|
|NGC3593          |   10.80|   -18.9|
|BootesII         |    0.04|    -1.9|
|LeG26            |   10.40|   -13.3|
|IC2791           |   10.30|   -13.3|
|LeG21            |   10.40|   -11.6|
|LeG14            |   10.40|   -11.5|
|AGC213436        |   10.30|   -13.5|
|NGC3627          |   10.28|   -21.1|
|KK94             |   10.40|   -12.7|
|IC2684           |   10.30|   -14.0|
|IC3583           |    7.60|   -16.4|
|UGC05944         |   11.07|   -14.8|
|NGC3412          |   10.40|   -18.8|
|LeG23            |   10.40|   -11.1|
|IC2787           |   10.30|   -14.5|
|AGC205268        |   10.40|   -12.8|
|KDG177           |    8.20|   -13.4|
|LSBC D640-08     |   10.40|   -13.2|
|NGC3489          |   12.08|   -19.5|
|LeG06            |   10.40|   -11.9|
|AGC205445        |   10.40|   -13.8|
|NGC3377          |   10.91|   -19.1|
|KK93             |   10.40|   -12.2|
|DDO088           |    7.73|   -15.2|
|AGC205540        |   10.40|   -12.2|
|AGC205278        |   10.40|   -12.9|
|LeG33            |   10.40|   -11.6|
|GR8              |    2.13|   -12.0|
|AGC215354        |   10.42|   -12.8|
|IC3023           |    7.70|   -14.2|
|UGC04115         |    7.73|   -14.3|
|IC3077           |    9.10|   -14.9|
|LV J1952+1428    |    7.13|   -13.5|
|BootesI          |    0.07|    -5.5|
|LSBC D634-03     |    9.55|   -12.6|
|LeG27            |   10.40|   -11.6|
|Pegasus          |    0.76|   -11.5|
|VCC0841          |    7.90|   -14.1|
|KDG104           |    9.40|   -13.1|
|AGC205544        |   10.40|   -13.1|
|KDG216           |    6.00|   -12.1|
|AGC205165        |   10.40|   -13.9|
|AGC748778        |    5.40|   -10.0|
|LeG11            |   10.40|   -11.4|
|LV J1158+1535    |    6.27|   -11.0|
|KDG010           |    7.87|   -13.5|
|NGC0628          |    7.31|   -19.8|
|GR34             |    8.90|   -13.9|
|UGC01171         |    7.38|   -13.9|
|DDO013           |    9.04|   -15.7|
|Segue 1          |    0.02|    -0.7|
|UGC02905         |    5.83|   -14.4|
|KK65             |    8.02|   -14.3|
|UGC00685         |    4.51|   -14.3|
|UGC01056         |    7.30|   -14.8|
|DDO047           |    8.05|   -16.1|
|LeoT             |    0.42|    -6.7|
|NGC3239          |    7.90|   -18.1|
|UGC02684         |    6.49|   -13.4|
|UGC02716         |    6.40|   -15.0|
|KK180            |    4.40|   -11.0|
|LeoP             |    2.00|    -9.4|
|UGC01104         |    7.55|   -15.2|
|Segue 3          |    0.02|    -0.6|
|KDG215           |    5.50|   -11.9|
|CGCG 095-078     |    7.37|   -13.9|
|LV J0913+1937    |    4.43|   -11.0|
|KDG056           |    8.90|   -12.9|
|UGC06881         |   16.40|   -15.3|
|LSBC D564-08     |    8.67|   -11.9|
|Segue 2          |    0.03|    -2.3|
|NGC4204          |    8.00|   -16.8|
|KKH67            |   10.00|   -11.7|
|UGC05086         |    8.90|   -13.5|
|NGC2903          |    8.87|   -20.9|
|LSBC D565-06     |    9.08|   -12.7|
|NGC4826          |    4.37|   -19.5|
|NGC2903-HI-1     |    8.90|   -11.7|
|IC3840           |    5.50|   -12.0|
|LGS 3            |    0.65|    -9.3|
|KK177            |    4.40|   -11.0|
|LeoII            |    0.21|    -9.1|
|KKH80            |    7.43|   -12.7|
|UGC7321          |   17.20|   -18.4|
|UGC05672         |   11.40|   -15.7|
|UGC07584         |    9.20|   -13.7|
|NGC4455          |    8.40|   -16.9|
|DDO187           |    2.20|   -12.4|
|DDO097           |   13.74|   -15.7|
|ComaI            |    0.04|    -3.2|
|AGC732602        |    7.20|   -12.2|
|UGC1561          |    7.20|   -15.1|
|Peg dSph         |    0.82|   -10.7|
|UGC08638         |    4.27|   -13.7|
|NGC3344          |    6.85|   -18.9|
|AGC198508        |   10.40|   -12.5|
|AGC238890        |    6.80|   -12.6|
|NGC1156          |    7.80|   -18.1|
|AGC198507        |   21.70|   -13.2|
|AGC229053        |   17.90|   -13.5|
|LV J0300+2546    |    7.80|   -12.7|
|KK167            |    9.20|   -13.5|
|UGC08030         |   15.30|   -14.4|
|AGC749241        |    9.20|   -11.6|
|KK13             |    7.20|   -13.1|
|UGCA298          |   11.00|   -15.0|
|IC3308           |   12.80|   -15.5|
|BootesIII        |    0.05|    -5.9|
|KK15             |    7.20|   -11.4|
|AGC749236        |   19.50|   -14.3|
|AGC749315        |   21.50|   -12.7|
|NGC4080          |   15.00|   -17.5|
|AGC731448        |   13.50|   -14.2|
|DDO154           |    4.04|   -14.0|
|KK14             |    7.20|   -12.1|
|AGC112521        |    6.52|   -11.5|
|IC1727           |    7.20|   -17.8|
|NGC0672          |    7.20|   -18.8|
|BTS76            |    5.57|   -12.3|
|NGC3274          |    7.98|   -16.7|
|AGC122226        |    8.56|   -13.1|
|IC3341           |   14.00|   -14.4|
|NGC0855          |    9.73|   -17.0|
|AGC182595        |    6.10|   -11.9|
|KK16             |    5.47|   -12.7|
|NGC4559          |    8.10|   -19.8|
|AGC731457        |    9.20|   -13.1|
|And XXII         |    0.79|    -6.0|
|LV J1205+2813    |    6.74|   -12.5|
|KK138            |    6.30|   -10.4|
|MCG +05-28-046   |    7.45|   -13.1|
|UGC07990         |   20.40|   -15.4|
|KKH65            |   10.00|   -12.7|
|KUG 1202+286     |    6.69|   -14.0|
|UGCA294          |    9.90|   -15.2|
|KK144            |    6.15|   -12.5|
|KDG098           |    9.00|   -13.4|
|DDO068           |    9.80|   -15.3|
|KK17             |    4.90|   -11.5|
|NGC0784          |    4.97|   -16.5|
|IC3247           |   24.40|   -17.3|
|MRK0036          |    8.02|   -14.0|
|UGC05427         |    7.11|   -14.5|
|KISSB023         |   19.80|   -15.2|
|And XIV          |    0.73|    -7.7|
|DDO131           |    8.10|   -14.3|
|IC 779           |   16.67|   -16.0|
|KK127            |   17.30|   -15.7|
|NGC4136          |    7.90|   -17.9|
|LV J1213+2957    |    2.68|    -9.8|
|NGC4308          |   14.00|   -16.7|
|NGC4150          |   13.74|   -18.3|
|LV J1000+3032    |    7.10|   -11.3|
|MESSIER033       |    0.85|   -18.8|
|UGC12713         |   12.20|   -16.0|
|LeoA             |    0.81|   -11.7|
|And XXIX         |    0.73|    -7.5|
|IC2992           |   12.70|   -15.6|
|UGC07131         |   16.80|   -14.6|
|And XXVIII       |    0.65|    -7.7|
|KUG 1157+315     |   23.20|   -17.0|
|MAPS1206+31      |    7.43|   -13.6|
|KK78             |    7.10|   -11.7|
|DDO064           |    7.11|   -14.9|
|KDG082           |   16.60|   -16.4|
|DDO133           |    4.85|   -15.0|
|DDO083           |   10.90|   -14.9|
|LV J1207+3133    |    7.37|   -11.9|
|KK165            |    5.40|   -11.2|
|KUG 0821+321     |    8.15|   -13.0|
|NGC4509          |   10.10|   -16.0|
|NGC4656          |    5.40|   -18.2|
|UGC05209         |    6.56|   -13.1|
|And XVI          |    0.52|    -8.2|
|BTS151           |    7.30|   -12.0|
|LV J1217+3231    |    5.93|   -10.7|
|LV J1243+3232    |    7.30|   -10.4|
|NGC4631          |    7.38|   -20.3|
|NGC4627          |    7.30|   -16.4|
|UGC01281         |    4.94|   -16.1|
|FGC1497          |   23.40|   -15.1|
